縣市	行政區	村里	圖號坐標	型式		
臺東縣	東河鄉	隆昌村	R3476GE17	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GA20	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GA43	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GA56	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GB72	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GB84	水泥桿		
臺東縣	東河鄉	隆昌村	R3477GB86	水泥桿		
臺東縣	東河鄉	隆昌村	R3477HC00	水泥桿		
臺東縣	東河鄉	隆昌村	R3477HC23	水泥桿		
臺東縣	東河鄉	東河村	R3477HC36	水泥桿		
臺東縣	東河鄉	東河村	R3477HD75	水泥桿		
臺東縣	東河鄉	東河村	R3477HD88	水泥桿		
臺東縣	東河鄉	東河村	R3577AE02	水泥桿		
臺東縣	東河鄉	東河村	R3577AE14	水泥桿		
臺東縣	東河鄉	東河村	R3577AE39	水泥併桿		
臺東縣	東河鄉	東河村	R3578AA31	水泥桿		
臺東縣	東河鄉	東河村	R3578AA45	水泥桿		
臺東縣	東河鄉	東河村	R3578AA59	水泥桿		
臺東縣	東河鄉	東河村	R3578AB50	水泥併桿		
臺東縣	東河鄉	東河村	R3578AB62	水泥併桿		
臺東縣	東河鄉	東河村	R3578AB98	H桿		
臺東縣	東河鄉	東河村	R3578CD03	H桿		
臺東縣	東河鄉	東河村	R3578CD55	水泥桿		
臺東縣	東河鄉	東河村	R3578CD87	水泥桿		
臺東縣	東河鄉	東河村	R3578DD19	水泥桿		
臺東縣	東河鄉	東河村	R3578DE42	水泥桿		
臺東縣	東河鄉	東河村	R3578DE73	水泥桿		
臺東縣	東河鄉	東河村	R3578DE65	水泥桿		
臺東縣	東河鄉	東河村	R3578EE16	水泥桿		
臺東縣	東河鄉	東河村	R3578EE48	水泥桿		
臺東縣	東河鄉	東河村	R3579EA70	水泥桿		
臺東縣	東河鄉	東河村	R3579EA92	水泥桿		
臺東縣	東河鄉	東河村	R3579FA24	水泥桿		
臺東縣	東河鄉	東河村	R3579FA57	水泥桿		
臺東縣	東河鄉	東河村	R3579FA79	水泥桿		
臺東縣	東河鄉	隆昌村	R3474DE29	水泥桿		
臺東縣	東河鄉	東河村	R3579GB13	水泥桿		
臺東縣	東河鄉	東河村	R3579FB95	水泥桿		
臺東縣	東河鄉	東河村	R3579GB35	水泥桿		
臺東縣	東河鄉	東河村	R3579GB67	水泥桿		
臺東縣	東河鄉	東河村	R3579GC80	水泥桿		
臺東縣	東河鄉	東河村	R3579HC13	水泥桿		
臺東縣	東河鄉	東河村	R3579HC46	水泥桿		
臺東縣	東河鄉	東河村	R3579HC69	水泥桿		
臺東縣	東河鄉	東河村	R3579HD82	水泥桿		
臺東縣	東河鄉	東河村	R3679AD16	水泥桿		
臺東縣	東河鄉	東河村	R3679AD49	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DA32	水泥桿		
臺東縣	東河鄉	東河村	R3679AE73	水泥併桿		
臺東縣	東河鄉	東河村	R3679BE17	水泥併桿		
臺東縣	東河鄉	東河村	R3680BA50	水泥桿		
臺東縣	東河鄉	東河村	R3680BA93	水泥桿		
臺東縣	東河鄉	東河村	R3680CA15	水泥桿		
臺東縣	東河鄉	東河村	R3680CA46	水泥桿		
臺東縣	東河鄉	東河村	R3680CA89	水泥桿		
臺東縣	東河鄉	東河村	R3680CB61	水泥桿		
臺東縣	東河鄉	東河村	R3680DB11	水泥併桿		
臺東縣	東河鄉	東河村	R3680DB63	水泥併桿		
臺東縣	東河鄉	東河村	R3680EB04	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DA35	水泥桿		
臺東縣	東河鄉	東河村	R3680EB45	水泥桿		
臺東縣	東河鄉	東河村	R3680EB86	水泥桿		
臺東縣	東河鄉	東河村	R3680FB37	水泥併桿		
臺東縣	東河鄉	東河村	R3680FB69	水泥桿		
臺東縣	東河鄉	東河村	R3680GC14	水泥桿		
臺東縣	東河鄉	東河村	R3680GC06	水泥桿		
臺東縣	東河鄉	東河村	R3680GD00	水泥桿		
臺東縣	東河鄉	東河村	R3680GD05	H桿		
臺東縣	東河鄉	東河村	R3680HE76	H桿		
臺東縣	東河鄉	東河村	R3780AE03	水泥桿		
臺東縣	東河鄉	隆昌村	R3474BB36	水泥桿		
臺東縣	東河鄉	隆昌村	R3474BC50	水泥併桿		
臺東縣	東河鄉	隆昌村	R3474BC86	H桿		
臺東縣	東河鄉	隆昌村	R3474CD29	H桿		
臺東縣	東河鄉	隆昌村	R3474DE16	水泥併桿		
臺東縣	關山鎮	電光里	R2295CD67	水泥桿		(下)電光幹線#30
臺東縣	關山鎮	電光里	R2295CD96	水泥桿		(下)電光幹線#31
臺東縣	關山鎮	電光里	R2296AA70	水泥桿		
臺東縣	關山鎮	電光里	R2295AE98	水泥桿		
臺東縣	關山鎮	電光里	R2295BE16	水泥桿		
臺東縣	關山鎮	電光里	R2295BE44	水泥桿		
臺東縣	關山鎮	電光里	R2295BE72	水泥桿		(下)電光幹線#26
臺東縣	關山鎮	電光里	R2295BE90	水泥桿		(下)電光幹線#27
臺東縣	關山鎮	電光里	R2295CD19	水泥併桿		(下)電光幹線#28
臺東縣	關山鎮	電光里	R2295CD38	水泥桿		(下)電光幹線#29
臺東縣	東河鄉	都蘭村	R2662CD49	水泥桿		
臺東縣	臺東市	卑南里	R1440CE51	水泥桿		
臺東縣	臺東市	豐榮里	R1633CA42	水泥桿		
臺東縣	臺東市	豐榮里	R1633CA43	水泥桿		
臺東縣	臺東市	豐榮里	R1633CA85	水泥桿		
臺東縣	綠島鄉	南寮村	R5916AA35	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045AE45	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045AE85	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BE24	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045CC00	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BB78	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BB34	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BB02	水泥併桿		
臺東縣	卑南鄉	賓朗村	R1045BB40	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045CC93	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045DC31	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045DC66	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045DC71	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045DB98	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045AC68	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045AC98	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BC47	水泥桿		
臺東縣	卑南鄉	賓朗村	R1045BC86	水泥併桿		
臺東縣	卑南鄉	明峰村	R1058HA57	水泥併桿		
臺東縣	卑南鄉	明峰村	R1058HC95	水泥併桿		
臺東縣	卑南鄉	初鹿村	R1058GB65	水泥桿		
臺東縣	卑南鄉	初鹿村	R1058GB51	水泥桿		
臺東縣	卑南鄉	初鹿村	R1058GA59	水泥桿		
臺東縣	東河鄉	興昌村	R3270GE15	水泥桿		
臺東縣	東河鄉	興昌村	R3271DA03	水泥桿		
臺東縣	東河鄉	興昌村	R3271CA86	水泥桿		
臺東縣	東河鄉	興昌村	R3271CA68	水泥桿		
臺東縣	東河鄉	興昌村	R3271CB31	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB73	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB50	水泥併桿		
臺東縣	東河鄉	興昌村	R3271BA36	水泥桿		
臺東縣	東河鄉	興昌村	R3271BA34	水泥桿		
臺東縣	東河鄉	興昌村	R3271BA21	水泥併桿		
臺東縣	東河鄉	興昌村	R3270AE76	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB77	水泥桿		
臺東縣	東河鄉	興昌村	R3271CB29	水泥桿		
臺東縣	東河鄉	興昌村	R3271CC19	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB25	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB24	水泥桿		
臺東縣	東河鄉	興昌村	R3271BB07	水泥桿		
臺東縣	東河鄉	興昌村	R3271AC70	水泥併桿		
臺東縣	東河鄉	興昌村	R3271AC42	水泥桿		
臺東縣	東河鄉	興昌村	R3271AC03	水泥桿		
臺東縣	東河鄉	興昌村	R3171HC90	水泥併桿		
臺東縣	東河鄉	興昌村	R3171HB76	水泥桿		
臺東縣	東河鄉	興昌村	R3171HB42	水泥桿		
臺東縣	東河鄉	興昌村	R3171HB11	水泥併桿		
臺東縣	東河鄉	興昌村	R3171GA98	水泥桿		
臺東縣	東河鄉	興昌村	R3171GA75	水泥桿		
臺東縣	東河鄉	興昌村	R3171GA49	水泥桿		
臺東縣	東河鄉	興昌村	R3171HC92	水泥桿		
臺東縣	東河鄉	興昌村	R3270FE68	水泥桿		
臺東縣	東河鄉	興昌村	R3171HC75	水泥桿		
臺東縣	東河鄉	興昌村	R3171HC47	水泥桿		
臺東縣	東河鄉	興昌村	R3171HC24	水泥桿		
臺東縣	東河鄉	興昌村	R3171GC92	水泥桿		
臺東縣	東河鄉	興昌村	R3171GC70	水泥桿		
臺東縣	東河鄉	興昌村	R3171GC30	水泥桿		
臺東縣	東河鄉	興昌村	R3171FC92	水泥桿		
臺東縣	東河鄉	興昌村	R3171FC64	水泥桿		
臺東縣	東河鄉	興昌村	R3171FC57	水泥桿		
臺東縣	東河鄉	興昌村	R3171FC09	水泥桿		
臺東縣	東河鄉	興昌村	R3270FE49	水泥桿		
臺東縣	東河鄉	興昌村	R3171ED70	水泥桿		
臺東縣	東河鄉	興昌村	R3171ED33	水泥桿		
